crop,state,season,year,area,production,yield,area_mha,production_mt,data_quality_flag,crop_category
Rice,Andaman And Nicobar Islands,Kharif,2020-21,6256.0,13344.05,2133.0,0.006256,0.01334405,GOOD,food_grains
Rice,Andhra Pradesh,Kharif,2020-21,1496000.0,4211240.0,2815.0,1.496,4.21124,GOOD,food_grains
Rice,Andhra Pradesh,Rabi,2020-21,827500.0,3671617.5,4437.0,0.8275,3.6716175,GOOD,food_grains
Rice,Arunachal Pradesh,Kharif,2020-21,133270.0,246416.23,1849.0,0.13327,0.24641623,GOOD,food_grains
Rice,Arunachal Pradesh,Rabi,2020-21,495.0,663.3,1340.0,0.000495,0.0006632999999999999,GOOD,food_grains
Rice,Assam,Kharif,2020-21,1980445.0,4143090.94,2092.0,1.980445,4.1430909399999996,GOOD,food_grains
Rice,Assam,Rabi,2020-21,380025.0,1071670.5,2820.0,0.380025,1.0716705,GOOD,food_grains
Rice,Bihar,Kharif,2020-21,2961799.0,6610735.37,2232.0,2.961799,6.61073537,GOOD,food_grains
Rice,Bihar,Rabi,2020-21,59061.0,136253.73,2307.0,0.059061,0.13625373000000002,GOOD,food_grains
Rice,Chandigarh,Kharif,2020-21,80.0,440.0,5500.0,8e-05,0.00044,GOOD,food_grains
Rice,Chhattisgarh,Kharif,2020-21,3791000.0,7161199.0,1889.0,3.791,7.161199,GOOD,food_grains
Rice,Dadra And Nagar Haveli,Kharif,2020-21,15853.0,32942.53,2078.0,0.015853,0.03294253,GOOD,food_grains
Rice,Dadra And Nagar Haveli,Rabi,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
Rice,Daman And Diu,Kharif,2020-21,1434.0,2804.9,1956.0,0.001434,0.0028049,GOOD,food_grains
Rice,Daman And Diu,Rabi,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
Rice,Delhi,Kharif,2020-21,6171.0,19747.2,3200.0,0.006171,0.0197472,GOOD,food_grains
Rice,Goa,Kharif,2020-21,23440.0,61571.96,2627.0,0.02344,0.06157196,GOOD,food_grains
Rice,Goa,Rabi,2020-21,9237.0,25768.92,2790.0,0.009237,0.025768919999999997,GOOD,food_grains
Rice,Gujarat,Kharif,2020-21,836910.0,1936609.74,2314.0,0.83691,1.93660974,GOOD,food_grains
Rice,Gujarat,Rabi,2020-21,69720.0,209090.28,2999.0,0.06972,0.20909028,GOOD,food_grains
Rice,Haryana,Kharif,2020-21,1327200.0,4424884.8,3334.0,1.3272,4.4248848,GOOD,food_grains
Rice,Himachal Pradesh,Kharif,2020-21,68455.0,140469.66,2052.0,0.068455,0.14046966,GOOD,food_grains
Rice,Jammu And Kashmir,Kharif,2020-21,267580.0,581451.34,2173.0,0.26758,0.58145134,GOOD,food_grains
Rice,Jharkhand,Kharif,2020-21,1411000.0,2752861.0,1951.0,1.411,2.752861,GOOD,food_grains
Rice,Jharkhand,Rabi,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
Rice,Karnataka,Kharif,2020-21,1038000.0,3145140.0,3030.0,1.038,3.14514,GOOD,food_grains
Rice,Karnataka,Rabi,2020-21,359100.0,1146606.3,3193.0,0.3591,1.1466063,GOOD,food_grains
Rice,Kerala,Kharif,2020-21,157402.13,469845.35,2985.0,0.15740213,0.46984535,GOOD,food_grains
Rice,Kerala,Rabi,2020-21,47637.87,163921.92,3441.0,0.047637870000000006,0.16392192000000003,GOOD,food_grains
Rice,Madhya Pradesh,Kharif,2020-21,2080000.0,4286880.0,2061.0,2.08,4.28688,GOOD,food_grains
Rice,Madhya Pradesh,Rabi,2020-21,37000.0,126910.0,3430.0,0.037,0.12691,GOOD,food_grains
Rice,Maharashtra,Kharif,2020-21,1472600.0,3027665.6,2056.0,1.4726,3.0276656,GOOD,food_grains
Rice,Maharashtra,Rabi,2020-21,87970.0,263997.97,3001.0,0.08797,0.26399796999999997,GOOD,food_grains
Rice,Manipur,Kharif,2020-21,30770.0,78771.2,2560.0,0.03077,0.0787712,GOOD,food_grains
Rice,Manipur,Rabi,2020-21,195000.0,523380.0,2684.0,0.195,0.52338,GOOD,food_grains
Rice,Meghalaya,Kharif,2020-21,93968.0,232758.74,2477.0,0.093968,0.23275874,GOOD,food_grains
Rice,Meghalaya,Rabi,2020-21,13629.0,63088.64,4629.0,0.013629,0.06308864,GOOD,food_grains
Rice,Mizoram,Kharif,2020-21,34776.0,61205.76,1760.0,0.034776,0.061205760000000005,GOOD,food_grains
Rice,Mizoram,Rabi,2020-21,470.0,981.83,2089.0,0.00047,0.00098183,GOOD,food_grains
Rice,Nagaland,Kharif,2020-21,213000.0,356349.0,1673.0,0.213,0.356349,GOOD,food_grains
Rice,Nagaland,Rabi,2020-21,5810.0,11039.0,1900.0,0.00581,0.011039,GOOD,food_grains
Rice,Odisha,Kharif,2020-21,3690140.0,7657040.5,2075.0,3.69014,7.6570405,GOOD,food_grains
Rice,Odisha,Rabi,2020-21,348100.0,1153255.3,3313.0,0.3481,1.1532553,GOOD,food_grains
Rice,Puducherry,Kharif,2020-21,4318.0,14452.35,3347.0,0.004318,0.014452350000000001,GOOD,food_grains
Rice,Puducherry,Rabi,2020-21,13829.0,35554.36,2571.0,0.013829,0.03555436,GOOD,food_grains
Rice,Punjab,Kharif,2020-21,2928000.0,12783648.0,4366.0,2.928,12.783648,GOOD,food_grains
Rice,Rajasthan,Kharif,2020-21,231472.0,634001.81,2739.0,0.231472,0.6340018100000001,GOOD,food_grains
Rice,Sikkim,Kharif,2020-21,8702.0,16194.42,1861.0,0.008702,0.01619442,GOOD,food_grains
Rice,Tamil Nadu,Kharif,2020-21,1859659.59,6136876.66,3300.0,1.8596595900000001,6.13687666,GOOD,food_grains
Rice,Tamil Nadu,Rabi,2020-21,176580.41,744286.42,4215.0,0.17658041,0.74428642,GOOD,food_grains
Rice,Telangana,Kharif,2020-21,1800000.0,5439600.0,3022.0,1.8,5.4396,GOOD,food_grains
Rice,Telangana,Rabi,2020-21,1386400.0,4777534.4,3446.0,1.3864,4.7775344,GOOD,food_grains
Rice,Tripura,Kharif,2020-21,198194.0,585266.88,2953.0,0.198194,0.58526688,GOOD,food_grains
Rice,Tripura,Rabi,2020-21,65599.0,217854.28,3321.0,0.065599,0.21785428,GOOD,food_grains
Rice,Uttar Pradesh,Kharif,2020-21,5652000.0,15429960.0,2730.0,5.652,15.42996,GOOD,food_grains
Rice,Uttar Pradesh,Rabi,2020-21,26000.0,90064.0,3464.0,0.026,0.090064,GOOD,food_grains
Rice,Uttarakhand,Kharif,2020-21,238000.0,657356.0,2762.0,0.238,0.657356,GOOD,food_grains
Rice,Uttarakhand,Rabi,2020-21,16000.0,57520.0,3595.0,0.016,0.05752,GOOD,food_grains
Rice,West Bengal,Kharif,2020-21,4300078.0,11855315.05,2757.0,4.300078,11.855315050000002,GOOD,food_grains
Rice,West Bengal,Rabi,2020-21,1285551.0,4669121.23,3632.0,1.285551,4.66912123,GOOD,food_grains
Wheat,Andhra Pradesh,Rabi,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
Wheat,Arunachal Pradesh,Rabi,2020-21,3930.0,7742.1,1970.0,0.00393,0.0077421,GOOD,food_grains
Wheat,Assam,Rabi,2020-21,9342.0,12882.62,1379.0,0.009342,0.012882620000000001,GOOD,food_grains
Wheat,Bihar,Rabi,2020-21,2222503.0,6149665.8,2767.0,2.222503,6.1496658,GOOD,food_grains
Wheat,Chandigarh,Rabi,2020-21,546.0,2457.0,4500.0,0.000546,0.002457,GOOD,food_grains
Wheat,Chhattisgarh,Rabi,2020-21,160130.0,248361.63,1551.0,0.16013,0.24836163,GOOD,food_grains
Wheat,Dadra And Nagar Haveli,Rabi,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
Wheat,Delhi,Rabi,2020-21,19180.0,83624.8,4360.0,0.01918,0.0836248,GOOD,food_grains
Wheat,Gujarat,Rabi,2020-21,1017000.0,3259485.0,3205.0,1.017,3.259485,GOOD,food_grains
Wheat,Haryana,Rabi,2020-21,2564000.0,12394376.0,4834.0,2.564,12.394376,GOOD,food_grains
Wheat,Himachal Pradesh,Rabi,2020-21,333148.0,570349.38,1712.0,0.333148,0.57034938,GOOD,food_grains
Wheat,Jammu And Kashmir,Rabi,2020-21,243754.0,483851.69,1985.0,0.243754,0.48385169,GOOD,food_grains
Wheat,Jharkhand,Rabi,2020-21,232762.0,543964.79,2337.0,0.232762,0.5439647900000001,GOOD,food_grains
Wheat,Karnataka,Rabi,2020-21,203000.0,262073.0,1291.0,0.203,0.262073,GOOD,food_grains
Wheat,Ladakh,Rabi,2020-21,4484.0,7174.4,1600.0,0.004484,0.0071744,GOOD,food_grains
Wheat,Madhya Pradesh,Rabi,2020-21,6083000.0,18182087.0,2989.0,6.083,18.182087,GOOD,food_grains
Wheat,Maharashtra,Rabi,2020-21,1126200.0,2071081.8,1839.0,1.1262,2.0710818,GOOD,food_grains
Wheat,Manipur,Rabi,2020-21,2300.0,5830.5,2535.0,0.0023,0.0058305,GOOD,food_grains
Wheat,Meghalaya,Rabi,2020-21,464.0,897.84,1935.0,0.000464,0.00089784,GOOD,food_grains
Wheat,Nagaland,Rabi,2020-21,3430.0,6290.62,1834.0,0.00343,0.00629062,GOOD,food_grains
Wheat,Odisha,Rabi,2020-21,180.0,295.2,1640.0,0.00018,0.00029519999999999997,GOOD,food_grains
Wheat,Punjab,Rabi,2020-21,3530400.0,17185987.2,4868.0,3.5304,17.1859872,GOOD,food_grains
Wheat,Rajasthan,Rabi,2020-21,3002000.0,11035352.0,3676.0,3.002,11.035352,GOOD,food_grains
Wheat,Sikkim,Rabi,2020-21,104.0,120.02,1154.0,0.000104,0.00012001999999999999,GOOD,food_grains
Wheat,Telangana,Rabi,2020-21,6000.0,15840.0,2640.0,0.006,0.01584,GOOD,food_grains
Wheat,Tripura,Rabi,2020-21,28.0,57.99,2071.0,2.8e-05,5.799e-05,GOOD,food_grains
Wheat,Uttar Pradesh,Rabi,2020-21,9852000.0,35506608.0,3604.0,9.852,35.506608,GOOD,food_grains
Wheat,Uttarakhand,Rabi,2020-21,312000.0,955344.0,3062.0,0.312,0.955344,GOOD,food_grains
Wheat,West Bengal,Rabi,2020-21,193271.0,594694.87,3077.0,0.193271,0.59469487,GOOD,food_grains
Maize,Andaman And Nicobar Islands,Kharif,2020-21,41.0,109.88,2680.0,4.1e-05,0.00010988,GOOD,food_grains
Maize,Andhra Pradesh,Kharif,2020-21,114000.0,433998.0,3807.0,0.114,0.433998,GOOD,food_grains
Maize,Andhra Pradesh,Rabi,2020-21,187000.0,1346961.0,7203.0,0.187,1.346961,GOOD,food_grains
Maize,Arunachal Pradesh,Kharif,2020-21,41228.0,63284.98,1535.0,0.041228,0.06328498,GOOD,food_grains
Maize,Arunachal Pradesh,Rabi,2020-21,9923.0,17027.87,1716.0,0.009923,0.01702787,GOOD,food_grains
Maize,Assam,Kharif,2020-21,41154.0,147907.48,3594.0,0.041154,0.14790748,GOOD,food_grains
Maize,Bihar,Kharif,2020-21,193607.0,225164.94,1163.0,0.193607,0.22516494,GOOD,food_grains
Maize,Bihar,Rabi,2020-21,455580.0,1859221.98,4081.0,0.45558,1.85922198,GOOD,food_grains
Maize,Chandigarh,Kharif,2020-21,8.0,24.0,3000.0,8e-06,2.4e-05,GOOD,food_grains
Maize,Chandigarh,Rabi,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
