"Crop","State","Season","Area-2020-21","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Production-2020-21","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Yield-2020-21","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25"
"Rice","Andaman And Nicobar Islands","Kharif","6256.00","6256.43","4989.65","4557.10","4365.20","13344.05","13344.97","10511.53","9569.91","8992.31","2133.00","2133.00","2107.00","2100.00","2060.00"
"Rice","Andaman And Nicobar Islands","Rabi","","","","","","","0.00","","","","","","","",""
"Rice","Andaman And Nicobar Islands","Total","6256.00","6256.43","4989.65","4557.10","4365.20","13344.05","13344.97","10511.53","9569.91","8992.31","2133.00","2133.00","2107.00","2100.00","2060.00"
"Rice","Andhra Pradesh","Kharif","1496000.00","1508000.00","1452000.00","1347297.00","1404000.00","4211240.00","4326452.00","4986168.00","4695330.05","5030532.00","2815.00","2869.00","3434.00","3485.00","3583.00"
"Rice","Andhra Pradesh","Rabi","827500.00","781000.00","677000.00","573340.00","673000.00","3671617.50","3437181.00","2955782.00","2646250.77","3128602.02","4437.00","4401.00","4366.00","4616.00","4649.00"
"Rice","Andhra Pradesh","Total","2323500.00","2289000.00","2129000.00","1920637.00","2077000.00","7882857.50","7763633.00","7941950.00","7341580.82","8159134.02","3393.00","3392.00","3730.00","3822.00","3928.00"
"Rice","Arunachal Pradesh","Kharif","133270.00","135717.00","136392.00","136717.00","137419.00","246416.23","251347.88","253325.41","254020.19","255416.11","1849.00","1852.00","1857.00","1858.00","1859.00"
"Rice","Arunachal Pradesh","Rabi","495.00","767.00","774.00","562.00","230.00","663.30","1030.08","1040.77","756.83","103.35","1340.00","1343.00","1345.00","1347.00","449.00"
"Rice","Arunachal Pradesh","Total","133765.00","136484.00","137166.00","137279.00","137649.00","247079.53","252377.97","254366.18","254777.02","255519.46","1847.00","1849.00","1854.00","1856.00","1856.00"
"Rice","Assam","Kharif","1980445.00","1983164.00","1943000.00","1917732.00","1820520.00","4143090.94","3537964.58","4518446.50","4374346.69","3759919.96","2092.00","1784.00","2326.00","2281.00","2065.00"
"Rice","Assam","Rabi","380025.00","370091.00","","","","1071670.50","844177.57","","","","2820.00","2281.00","","",""
"Rice","Assam","Summer","","","375000.00","377984.00","382283.00","","","1105875.00","1164190.72","1141550.56","","","2949.00","3080.00","2986.00"
"Rice","Assam","Total","2360470.00","2353255.00","2318000.00","2295716.00","2202803.00","5214761.44","4382142.15","5624321.50","5538537.41","4901470.51","2209.00","1862.00","2426.00","2413.00","2225.00"
"Rice","Bihar","Kharif","2961799.00","3037482.00","2808795.00","3050217.00","3184330.00","6610735.37","7572442.63","6873121.37","7729249.88","8142013.38","2232.00","2493.00","2447.00","2534.00","2557.00"
"Rice","Bihar","Rabi","59061.00","53879.00","","","","136253.73","144503.48","","","","2307.00","2682.00","","",""
"Rice","Bihar","Summer","","","54067.00","59913.00","57854.00","","","150198.13","173028.74","160197.73","","","2778.00","2888.00","2769.00"
"Rice","Bihar","Total","3020860.00","3091361.00","2862862.00","3110130.00","3242184.00","6746989.10","7716946.10","7023319.50","7902278.62","8302211.11","2233.00","2496.00","2453.00","2541.00","2561.00"
"Rice","Chandigarh","Kharif","80.00","82.00","82.00","84.00","84.00","440.00","451.00","323.86","418.24","308.00","5500.00","5500.00","3950.00","4979.00","3667.00"
"Rice","Chandigarh","Rabi","","0.00","","","","","0.00","","","","","0.00","","",""
"Rice","Chandigarh","Total","80.00","82.00","82.00","84.00","84.00","440.00","451.00","323.86","418.24","308.00","5500.00","5500.00","3950.00","4979.00","3667.00"
